"BRK.B","CELG","DOW","EMR","HAL","MA","MRK","PEP","PM","SPG"
"146",1254800,1072900,414800,425900,285400,854500,505700,943600,855000,1832000
"147",1255300,1034200,415200,422100,289500,845100,506300,950900,864500,1833700
"148",1260600,1076100,425500,427800,295200,877200,511300,958500,867100,1862700
"149",1298200,1166800,484800,460700,335000,937800,523600,986000,873500,1955200
"150",1289300,1088500,464000,440900,324800,904700,511100,976500,879600,1873400
"151",1274400,1036400,430000,433700,306600,890600,518100,949300,876800,1867000
"152",1261000,1076800,425500,427500,295700,877000,511400,958700,867700,1862100
"153",1255000,1037700,415000,422200,289500,845300,506500,950400,864800,1836800
"154",1307600,1187600,498900,473300,345700,957500,529100,991800,875300,1932200
"155",1299400,1167500,485400,461300,336200,940000,523300,986300,873200,1957900
"156",1287400,1088100,463000,440700,324500,904400,510800,976200,879400,1871400
"157",1252200,1077000,425000,431200,289000,867900,508300,962800,876500,1877800
"158",1294400,1178800,500800,468000,337900,950100,518700,986200,865200,1923500
"159",1273200,1076500,437200,435900,301000,878300,513300,945500,862400,1853000
"160",1269300,981400,418900,451600,307300,820800,497000,982500,890900,1837600
"161",1256000,1057800,422900,429600,290900,870200,511900,962800,875600,1874700
"162",1254200,1036400,414300,422000,289700,845200,506600,950000,864100,1836900
"163",1260500,1002800,418800,444300,303000,850600,502700,965200,879100,1863500
"164",1274700,1034400,430100,433600,306200,890800,518000,949600,877600,1868100
"165",1266500,1021400,433800,432100,297700,896000,508500,967700,888800,1854700
"166",1295800,1143700,474900,453500,330000,909000,515200,985200,869500,1930100
"167",1260700,1074500,424700,427700,295700,876900,511400,959200,867500,1861600
"168",1268900,981500,418100,451600,307100,820100,496800,981800,890700,1837600
"169",1294000,1177900,500600,468000,337800,950300,518500,986700,865400,1924700
"170",1291600,1061000,457300,442100,317900,915900,516800,979300,896900,1868500
"171",1268100,982800,418300,451600,307600,821000,497200,981000,890800,1836400
"172",1276300,1036400,430100,433400,306300,890700,518300,949900,877500,1870900
"173",1273700,1076800,437400,436200,301100,878700,512900,947700,862000,1850700
"174",1255300,1075200,415200,426000,286400,854300,505500,941100,852600,1833900
"175",1256200,1058200,422200,429900,291500,869700,512500,962800,875900,1871400
"176",1266700,1020000,433800,432000,298800,895100,508300,968200,889500,1857800
"177",1260500,1000300,418600,443500,302600,850300,502500,965400,879200,1866500
"178",1299500,1166700,486200,460900,336300,940700,523500,987700,873600,1957500
"179",1255000,1072000,415400,425500,286300,855400,505200,940800,852500,1833900
"180",1269300,983900,418500,451800,307300,823400,497000,981000,891000,1835600
"181",1299500,1166300,486700,460600,337500,940100,523800,987500,873800,1956200
"182",1290800,1064000,457300,442400,317900,916800,517100,979500,897600,1866500
"183",1256100,1056600,420600,429600,290400,869100,512500,963500,875300,1872100
"184",1307800,1187500,497700,473000,344700,956000,528700,992500,876100,1933500
"185",1259000,998000,417800,443700,302800,848300,502700,965600,880100,1867300
"186",1268500,985200,418600,451400,307500,823200,497700,982100,891000,1835000
"187",1258700,1030700,433900,425100,310000,887300,507300,940800,865200,1829700
"188",1292400,1075800,450900,444300,318900,918100,519400,973000,890000,1857800
"189",1296400,1145700,476100,454100,330400,910000,515200,987000,871100,1927800
"190",1300300,1142600,473300,448200,328600,919800,522500,981500,871600,1924100
"191",1255700,1073300,414000,425300,286600,855600,505800,940400,853300,1831100
"192",1254200,1070100,425800,431500,289000,868800,508800,964500,876300,1883900
"193",1291200,1064500,457700,442800,318400,916700,517300,979500,897700,1864700
"194",1266600,1020000,433900,431600,298600,893500,508500,967900,889200,1855000
"195",1261600,1000000,418600,444200,302800,849600,503100,966600,881000,1867500
"196",1293200,1178300,501900,469300,339600,950300,519200,986900,865700,1922500
"197",1308400,1187300,497600,473000,345300,955600,528500,992100,875200,1933000
"198",1274200,1076300,437000,436800,300300,878500,512800,947300,861400,1853500
"199",1254900,1067700,425700,432100,288800,868500,508700,965000,876600,1886500
"200",1270000,986500,418200,452700,307500,821200,497900,981900,890700,1837500
"201",1293100,1179300,502000,469000,339900,949800,519300,986700,865200,1920900
"202",1299300,1141800,473200,448500,328500,920700,522300,980200,870600,1923000
"203",1296200,1145900,476100,454300,330000,911400,515700,986300,871000,1930500
"204",1298600,1167900,486400,460900,337600,939900,523800,988800,874600,1954200
"205",1278000,1036500,429500,434400,305800,892300,517900,950100,876500,1865900
"206",1255300,1073400,413100,424900,286700,854200,505100,940200,853300,1824000
"207",1253800,1054100,420300,429000,290200,869300,512900,963600,874900,1871300
"208",1278000,1036900,429600,434100,305600,893000,518400,950300,877400,1868000
